"trtid10","county","pop00","pop6a","hu00","hu6a"
6001410000,"Alameda County",2845.33959960938,3224,1156.73266601562,1202
6001410100,"Alameda County",2784,2734,977,1091
6001410200,"Alameda County",3550,3374,1174,1216
6001410300,"Alameda County",3728,3534,1030,1063
6001410400,"Alameda County",3366,4501,1090,1409
6001410500,"Alameda County",1614,2303,894,988
6001420100,"Alameda County",2339,2432,943,914
6001420200,"Alameda County",2672,3334,1266,1298
6001420300,"Alameda County",4386,4690,2106,2081
6001420400,"Alameda County",1721,3301,679,1225
6001420500,"Alameda County",2152,2502,961,992
6001420600,"Alameda County",3174,3161,1293,1315
6001421100,"Alameda County",2013,2123,852,891
6001421200,"Alameda County",3647.0537109375,3643,1475.21264648438,1548
6001421300,"Alameda County",3828,3942,1703,1763
6001421400,"Alameda County",1628.94641113281,1690,677.787353515625,703
6001421500,"Alameda County",3721,3827,1631,1678
6001421600,"Alameda County",3554.81689453125,3510,1694.91271972656,1715
6001421700,"Alameda County",3076,3611,1649,1683
6001421800,"Alameda County",2047,2130,927,950
6001421900,"Alameda County",3682,3878,1784,1828
6001422000,"Alameda County",1333,2069,634,962
6001422100,"Alameda County",2630,2605,1155,1311
6001422200,"Alameda County",3259,3560,1625,1666
6001422300,"Alameda County",3238,3853,1671,1939
6001422400,"Alameda County",3556,4185,2130,2316
6001422500,"Alameda County",3733,4135,1733,1635
6001422700,"Alameda County",3788,4895,1155,1176
6001422800,"Alameda County",5475,8648,1606,1520
6001422900,"Alameda County",2416,5024,1527,2104
6001423000,"Alameda County",4423,4341,2152,2201
6001423100,"Alameda County",3832,4307,1879,2092
6001423200,"Alameda County",2939,2932,1172,1220
6001423300,"Alameda County",3468,4129,1580,1803
6001423400,"Alameda County",4653,5242,2096,2225
6001423500,"Alameda County",2967,3262,1422,1547
6001423601,"Alameda County",2700,2752,1308,1280
6001423602,"Alameda County",5047,5455,2639,2547
6001423700,"Alameda County",2912,4110,1465,1463
6001423800,"Alameda County",3120,3067,1389,1332
6001423901,"Alameda County",1942,1938,890,932
6001423902,"Alameda County",1553,1564,794,785
6001424001,"Alameda County",3875,4267,1578,1674
6001424002,"Alameda County",1998,2451,847,1042
6001425101,"Alameda County",1650,1610,1024.71667480469,1248
6001425102,"Alameda County",1947.00012207031,3080,1209.16564941406,1942
6001425103,"Alameda County",796,3060,494.34814453125,1534
6001425104,"Alameda County",2607.05615234375,3361,1596.94995117188,2058
6001426100,"Alameda County",6126,6293,2170,2226
6001426200,"Alameda County",4812.47216796875,4908,1684.265625,1750
6001427100,"Alameda County",3497,3559,1450,1471
6001427200,"Alameda County",4221,4212,1725,1694
6001427300,"Alameda County",4760,5418,2139,2100
6001427600,"Alameda County",5079,5757,1765,1878
6001427700,"Alameda County",5130,5113,2532,2424
6001427800,"Alameda County",4715,4808,2133,2162
6001427900,"Alameda County",4658,5178,2254,2273
6001428000,"Alameda County",2901,3022,1406,1452
6001428100,"Alameda County",4490,4837,2066,2034
6001428200,"Alameda County",6132,6339,2754,2812
6001428301,"Alameda County",6247,6977,2503,2583
6001428302,"Alameda County",7451,7204,2714,2770
6001428400,"Alameda County",4496,4407,2020,1968
6001428500,"Alameda County",3298,3148,1559,1566
6001428600,"Alameda County",3387,3227,1632,1665
6001428700,"Alameda County",1797,4203,992,1497
6001430101,"Alameda County",5871.39208984375,7030,2080.12622070312,2323
6001430102,"Alameda County",2459.60766601562,2224,871.393798828125,907
6001430200,"Alameda County",7070.53466796875,6701,2455.78198242188,2506
6001430300,"Alameda County",3649,3827,1329,1358
6001430400,"Alameda County",2086.96801757812,2101,767.988220214844,770
6001430500,"Alameda County",6005.263671875,6005,2118.91748046875,2175
6001430600,"Alameda County",5696.73583984375,6031,2123.08251953125,2224
6001430700,"Alameda County",3713.38696289062,4066,1409.76733398438,1371
6001430800,"Alameda County",5180.8408203125,6126,2180.60009765625,2233
6001430900,"Alameda County",4665.21240234375,4940,1945.25451660156,1917
6001431000,"Alameda County",2582.02490234375,2842,1218.59594726562,1243
6001431100,"Alameda County",3137,3397,1345,1395
6001431200,"Alameda County",5988,5763,2694,2599
6001432100,"Alameda County",3606.77294921875,3683,1464.90783691406,1508
6001432200,"Alameda County",3939,4235,1673,1796
6001432300,"Alameda County",3303.24609375,4697,1371.9423828125,1758
6001432400,"Alameda County",5411,6214,1844,1923
6001432501,"Alameda County",4436.00048828125,4760,1476.11022949219,1527
6001432502,"Alameda County",4182,4897,1391.58996582031,1522
6001432600,"Alameda County",6401,7356,2897,3165
6001432700,"Alameda County",2408,2870,1075,1096
6001432800,"Alameda County",3634.82373046875,3534,1493.47094726562,1496
6001433000,"Alameda County",3395.095703125,3717,1479.90051269531,1483
6001433102,"Alameda County",3683,4088,1365,1383
6001433103,"Alameda County",3322,3737,1568.16076660156,1599
6001433104,"Alameda County",3745,4079,1767.83935546875,1966
6001433200,"Alameda County",6562,7529,2770,2896
6001433300,"Alameda County",6635,7502,2223,2292
6001433400,"Alameda County",6014,6512,2321,2413
6001433500,"Alameda County",4092,4884,1435,1430
6001433600,"Alameda County",5901,5661,2194,2241
6001433700,"Alameda County",2849,3281,1042,1083
6001433800,"Alameda County",7100,8561,2484,2689
6001433900,"Alameda County",6301,7580,2223,2474
6001434000,"Alameda County",4616,5201,1648,1867
6001435102,"Alameda County",5031,5800,1745,1630
6001435103,"Alameda County",4973.021484375,6699,1816.87561035156,2251
6001435104,"Alameda County",5605.978515625,5791,2048.12426757812,2055
6001435200,"Alameda County",4198,4555,1386,1490
6001435300,"Alameda County",4707,4467,1705,1700
6001435400,"Alameda County",4365.04638671875,4420,1916.01733398438,2081
6001435500,"Alameda County",3694,3674,1521,1502
6001435601,"Alameda County",4667,5801,1588.17163085938,1667
6001435602,"Alameda County",4857,5539,1652.82824707031,1728
6001435700,"Alameda County",4181,4663,1517,1385
6001435800,"Alameda County",5034,5321,1667,1712
6001435900,"Alameda County",4817,5511,1695,1712
6001436000,"Alameda County",4252,4369,1453,1484
6001436100,"Alameda County",4873,6057,1759,1839
6001436200,"Alameda County",3330,4369,1100,1316
6001436300,"Alameda County",6378,7980,1948,2680
6001436401,"Alameda County",7145,7881,2929,3066
6001436402,"Alameda County",2844,2875,1060,1059
6001436500,"Alameda County",4796.95361328125,4955,1786.98266601562,1784
6001436601,"Alameda County",6424,6466,1930,1877
6001436602,"Alameda County",4344,5234,1584,1696
6001436700,"Alameda County",2989,3184,980,1080
6001436800,"Alameda County",3790,4234,1361,1338
6001436900,"Alameda County",6868,6502,1902,1871
6001437000,"Alameda County",3430,3447,1273,1242
6001437101,"Alameda County",4200,6866,1315.23901367188,1973
6001437102,"Alameda County",4521,4458,1415.76086425781,1450
6001437200,"Alameda County",6239,7632,2209,2341
6001437300,"Alameda County",3270,3293,961,915
6001437400,"Alameda County",3357,3301,953,921
6001437500,"Alameda County",4872,4690,1215,1177
6001437600,"Alameda County",3184,3664,939,926
6001437701,"Alameda County",4228,3910,1060.95166015625,1083
6001437702,"Alameda County",4599,4880,1154.04833984375,1094
6001437800,"Alameda County",4118,4429,1242,1373
6001437900,"Alameda County",2276,2399,697,669
6001438000,"Alameda County",3021,3743,1079,1108
6001438100,"Alameda County",7109,7748,2128,2159
6001438201,"Alameda County",4469,4902,1207,1232
6001438203,"Alameda County",3716,4329,1288.70812988281,1251
